period,e3b_trades,e3b_win,e3b_compound,v25_wf_trades,v25_wf_win,v25_wf_compound,v25_fwd_trades,v25_fwd_win,v25_fwd_compound
2014-2016: Mild bull,7,0.7142857142857143,-0.006971586541689168,0,,,0,,
2017-2018: Sideways,9,0.6666666666666666,0.05273195966716271,2,0.0,-0.10345484601048127,0,,
2019-2020: COVID,10,0.8,-0.03345714713064507,18,0.4444444444444444,0.014614030446535642,0,,
2021-2022: Hike,13,0.7692307692307693,0.49498271366309354,26,0.3076923076923077,-0.30128978478539226,0,,
2023-2024: Normal,6,0.3333333333333333,0.36620761562466186,23,0.34782608695652173,-0.1586996205319211,0,,
2025-2026: BULL,3,0.6666666666666666,0.04052669203897108,5,0.8,0.17798585521631338,38,0.6578947368421053,4.415661072073173
