config,days_allow,n,ret%,sharpe,dd%,win%,rally_n,last_exit
baseline (strong_only),708,52,271.9,1.202,-5.6,80.8,0,2026-04-30
+breakout_120_pure,841,81,273.8,0.988,-14.3,63.0,10,2026-04-30
+breakout_60_confirmed,763,74,202.4,0.91,-12.8,62.2,6,2026-04-30
+golden_cross_breakout,843,86,184.4,0.859,-15.9,59.3,10,2026-04-30
+uptrend_strong_mom,943,76,569.3,0.72,-11.9,67.1,7,2026-04-30
ALL_THREE,965,84,573.3,0.718,-11.9,63.1,7,2026-04-30
pure_uptrend_strong,237,27,83.1,0.319,-20.8,37.0,7,2026-04-21
pure_breakout_60_conf,55,25,-21.8,-0.59,-21.7,16.0,6,2026-01-16
