config,days_allow,n,ret%,sharpe,dd%,win%,rally_n,last_exit
trend_override_medium,714,52,285.5,1.214,-5.6,80.8,0,2026-04-30
trend_override_strict,711,52,275.5,1.206,-5.6,80.8,0,2026-04-30
strong_only (baseline),708,52,271.9,1.202,-5.6,80.8,0,2026-04-30
trend_override_loose,724,51,266.1,1.168,-5.6,80.4,0,2026-04-30
breakout_only,162,50,0.9,0.049,-21.9,32.0,10,2026-01-27
