entry_date,exit_date,entry_price,exit_price,peak_price,hold_days,gross_return,net_return,exit_reason
2015-02-10,2015-03-25,16.85700035095215,16.979999542236328,17.277999877929688,30,0.007296623878709996,0.005296623878709996,max_hold
2015-04-23,2015-05-14,15.824000358581543,17.448999404907227,17.448999404907227,15,0.10269205065104958,0.10069205065104958,model_exit
2015-06-12,2015-07-27,15.817999839782715,14.593999862670898,16.200000762939453,30,-0.07738019910920857,-0.07938019910920857,max_hold
2015-08-24,2015-09-16,14.76200008392334,14.878000259399414,14.925000190734863,16,0.007858025661604318,0.0058580256616043175,model_exit
2015-11-04,2015-12-17,15.062999725341797,13.682999610900879,15.199999809265137,30,-0.09161522536040567,-0.09361522536040567,max_hold
2016-01-19,2016-03-02,14.109999656677246,15.003000259399414,15.788999557495117,30,0.06328849216516996,0.06128849216516996,max_hold
2016-03-31,2016-04-20,15.460000038146973,17.131000518798828,17.131000518798828,14,0.10808541245334569,0.10608541245334568,model_exit
2017-06-20,2017-06-23,16.398000717163086,16.628000259399414,16.649999618530273,3,0.014026072214742502,0.012026072214742502,model_exit
2017-08-08,2017-08-09,16.360000610351562,16.833999633789062,16.850000381469727,1,0.02897304436147663,0.026973044361476628,model_exit
2017-10-02,2017-10-10,16.584999084472656,17.155000686645508,17.165000915527344,6,0.03436850368635258,0.03236850368635258,model_exit
2017-11-07,2017-12-20,16.905000686645508,16.187999725341797,17.357999801635742,30,-0.042413542276287686,-0.04441354227628769,max_hold
2018-01-25,2018-01-30,17.551000595092773,17.01300048828125,17.551000595092773,2,-0.03065352906215202,-0.03265352906215202,model_exit
2018-03-01,2018-03-02,16.200000762939453,16.392000198364258,16.4950008392334,1,0.011851816443369634,0.009851816443369634,model_exit
2018-04-02,2018-04-09,16.62700080871582,16.499000549316406,16.62700080871582,5,-0.007698337233033481,-0.009698337233033481,model_exit
2018-05-07,2018-05-09,16.413000106811523,16.45800018310547,16.514999389648438,2,0.00274173374770581,0.0007417337477058101,model_exit
2018-06-07,2018-06-11,16.766000747680664,16.905000686645508,16.90999984741211,2,0.008290584084822417,0.0062905840848224166,model_exit
2018-07-10,2018-08-21,16.003000259399414,14.75100040435791,16.003000259399414,30,-0.07823532054910376,-0.08023532054910376,max_hold
2018-09-19,2018-10-31,14.189000129699707,14.229000091552734,14.739999771118164,30,0.0028190824925924396,0.0008190824925924396,max_hold
2018-11-29,2018-12-10,14.27299976348877,14.477999687194824,14.571999549865723,6,0.014362777769425739,0.012362777769425739,model_exit
2019-03-06,2019-03-08,15.003000259399414,15.272000312805176,15.272000312805176,2,0.01792975063352631,0.015929750633526307,model_exit
2019-04-05,2019-04-08,15.043000221252441,15.17300033569336,15.17300033569336,1,0.008641900719861484,0.006641900719861484,model_exit
2019-05-07,2019-06-19,14.859999656677246,14.944999694824219,15.125,30,0.005720056535047036,0.0037200565350470356,max_hold
2019-09-30,2019-11-04,16.898000717163086,18.013999938964844,18.030000686645508,25,0.0660432698803386,0.0640432698803386,model_exit
2019-12-03,2019-12-09,17.125,16.531999588012695,17.239999771118164,4,-0.03462776128393019,-0.036627761283930194,model_exit
2020-01-28,2020-01-30,17.402000427246094,17.95199966430664,17.96500015258789,2,0.031605517960993756,0.029605517960993755,model_exit
2020-02-28,2020-03-12,16.386999130249023,15.659600067138673,17.795000076293945,9,-0.0443887899992399,-0.0463887899992399,trail
2020-04-13,2020-04-14,15.479000091552734,16.07200050354004,16.07200050354004,1,0.038309994733504826,0.036309994733504825,model_exit
2020-05-19,2020-05-20,17.892000198364258,18.00200080871582,18.040000915527344,1,0.006148033150682464,0.004148033150682464,model_exit
2020-09-09,2020-09-21,26.954999923706055,24.23960006713867,27.545000076293945,8,-0.10073826244678552,-0.10273826244678552,trail
2020-10-19,2020-10-27,24.656999588012695,24.525999069213867,25.295000076293945,6,-0.005312914019859671,-0.007312914019859671,model_exit
