Date,gold_open,gold_high,gold_low,gold_close,gold_volume,gold_ret_1d,gold_ret_2d,gold_ret_3d,gold_ret_5d,gold_ret_10d,gold_ret_20d,gold_realized_vol_20d,gold_realized_vol_60d,gold_atr_14,gold_rsi_14,gold_zscore_20d,gold_dist_ma20,gold_zscore_60d,gold_dist_ma60,gold_ma20_slope_5d,gold_macd_hist,gold_dist_high_20d,gold_dist_high_60d,gold_tb_label,gold_tb_label_bin,split
2013-01-02,1672.800048828125,1693.800048828125,1670.0,1687.9000244140625,35,,,,,,,,,23.800048828125,,,,,,,0.0,,,DOWN,0.0,train
2013-01-03,1686.0999755859375,1686.800048828125,1662.0,1673.699951171875,140,-0.008412863935538417,,,,,,,,24.080045572916667,,,,,,,-0.9062155003559382,,,DOWN,0.0,train
2013-01-04,1647.0,1658.300048828125,1625.699951171875,1648.0999755859375,199,-0.015295439046893122,-0.023579624534895816,,,,,,,27.269372829861112,,,,,,,-3.0583736929387304,,,UP,1.0,train
2013-01-07,1656.5,1659.9000244140625,1643.800048828125,1645.5,49,-0.0015775593862339399,-0.016848868969692066,-0.025119985663120792,,,,,,25.780119864004632,,,,,,,-4.403868018261972,,,UP,1.0,train
2013-01-08,1647.699951171875,1661.5,1647.699951171875,1661.5,17,0.009723488301428107,0.008130589534957267,-0.0072892104485831055,,,,,,24.476103882137348,,,,,,,-3.9761837284212653,,,UP,1.0,train
2013-01-09,1658.5999755859375,1662.0999755859375,1651.9000244140625,1654.800048828125,9,-0.004032471364354473,0.005651807248936436,0.004065331801127892,-0.01961015173124836,,,,,22.57261685410237,,,,,,,-3.8991206775096794,,,UP,1.0,train
2013-01-10,1672.5,1677.300048828125,1672.5,1677.300048828125,9,0.01359680888088799,0.009509508774074638,0.01932546267281987,0.0021509815147746636,,,,,22.56293460688872,,,,,,,-2.173500446852433,,,DOWN,0.0,train
2013-01-11,1673.0999755859375,1673.0999755859375,1654.199951171875,1660.0,147,-0.010314224244023618,0.003142344101063621,-0.0009027986758952666,0.007220450573595771,,,,,22.63455634680356,,,,,,,-2.0400486666013107,,,UP,1.0,train
2013-01-14,1665.4000244140625,1673.800048828125,1664.0999755859375,1668.9000244140625,10,0.005361460490399095,-0.005008063059397938,0.008520652145207919,0.01422061647770434,,,,,21.456622010979753,,,,,,,-1.2348558387368502,,,UP,1.0,train
2013-01-15,1671.5999755859375,1684.300048828125,1671.5999755859375,1683.4000244140625,20,0.008688357473714436,0.01409640024943526,0.0036367825722054548,0.013180875362059918,,,,,20.649075664724123,,,,,,,0.30935357100297445,,,DOWN,0.0,train
2013-01-16,1674.4000244140625,1682.699951171875,1674.4000244140625,1682.699951171875,11,-0.0004158686182930138,0.008268875640203621,0.013674669380647542,0.01685998399837363,-0.0030807945772692857,,,,19.09586557609424,,,,,,,1.265076004650509,,,DOWN,0.0,train
2013-01-17,1676.4000244140625,1694.5999755859375,1671.0,1690.4000244140625,81,0.004576022740611085,0.004158251098063559,0.01288273694378339,0.0078101563253933914,0.009977937342051435,,,,19.696413577406677,,,,,,,2.3350400135882516,,,DOWN,0.0,train
2013-01-18,1687.4000244140625,1692.0,1686.5999755859375,1686.5999755859375,14,-0.0022480174948188436,0.0023177182666145324,0.0019008857820284053,0.016024081678275515,0.02336023334161652,,,,17.790228355627452,,,,,,,2.6812861946440623,,,DOWN,0.0,train
2013-01-22,1690.300048828125,1694.699951171875,1687.800048828125,1692.800048828125,15,0.0036760781050251268,0.0014197967223139596,0.00600231648501337,0.01432082453378447,0.028745091964828218,,,,16.498194653002127,51.67007969085574,,,,,,3.1878424997850088,,,DOWN,0.0,train
2013-01-23,1691.300048828125,1693.699951171875,1685.199951171875,1686.300048828125,28,-0.0038397919497342725,-0.00017782921982334443,-0.002425446951444865,0.001722718529169498,0.014926300829446237,,,,15.43176869926851,49.4778158383512,,,,,,2.950568823898268,,,DOWN,0.0,train
2013-01-24,1680.800048828125,1681.699951171875,1668.0,1669.5,13,-0.009962668766925531,-0.01376420614133067,-0.010138726333134729,-0.007844506777742621,0.008883218961883044,,,,15.814206049782708,48.652136304802255,,,,,,1.595465207843701,,,DOWN,0.0,train
2013-01-25,1663.0,1663.0,1656.4000244140625,1656.4000244140625,44,-0.0078466460532719,-0.017731141284637486,-0.021502849340807373,-0.020113582293507903,-0.012460516190090587,,,,15.452308654603348,52.89603344702688,,,,,,-0.15674214565464206,,,UP,1.0,train
2013-01-28,1651.5999755859375,1655.5,1651.5999755859375,1652.4000244140625,82,-0.002414875598311439,-0.010242572977500752,-0.020103198382530385,-0.020277452666269458,-0.0045782985457454295,,,,14.032007344406235,52.38424646844696,,,,,,-1.4848963940011077,,,UP,1.0,train
2013-01-29,1661.199951171875,1661.5,1660.699951171875,1660.699951171875,145863,0.005022952454116325,0.0025959470504919313,-0.005271068480458219,-0.018962722548638844,-0.004913459837156187,,,,13.374403109943739,49.708011896933634,,,,,,-1.689301360885744,,,UP,1.0,train
2013-01-30,1662.4000244140625,1683.0,1661.800048828125,1679.9000244140625,44893,0.011561434218528621,0.016642459207026228,0.014187394140079634,-0.0037953058345162605,-0.0020791255490317795,,,,14.56448920570124,58.39462010097109,0.5920501757250839,0.005362260657665985,,,,-0.47917465924907177,-0.007620524599460388,,DOWN,0.0,train
2013-01-31,1675.4000244140625,1680.0,1657.4000244140625,1660.5999755859375,6044,-0.011488807993116579,-6.020087244951178e-05,0.00496244919554667,-0.005330952029986569,-0.013133640118398127,-0.016173972648410806,0.1319765200823912,,15.63588738973274,44.29254071571549,-0.6084785786079829,-0.005375637802894628,,,,-0.9017794644012298,-0.019021781848647,,UP,1.0,train
2013-02-01,1663.9000244140625,1681.199951171875,1659.9000244140625,1669.4000244140625,3250,0.005299318895280569,-0.006250371955118128,0.0052387989992102035,0.007848345694512204,-0.012423094945990143,-0.002569114466904221,0.13042756332632077,,16.391092638810044,53.41073878892086,0.0027187620304978083,2.397005331600255e-05,,,,-0.5302571812551942,-0.013823265441338828,,DOWN,0.0,train
