Date,p_up_gold
2013-04-01,0.5512927499377531
2013-04-02,0.6433332175380666
2013-04-03,0.6398975705957629
2013-04-04,0.6398351988149684
2013-04-05,0.6055897888253575
2013-04-08,0.6052272396206123
2013-04-09,0.6132370844104119
2013-04-10,0.6554681592965995
2013-04-11,0.6284872237231546
2013-04-12,0.7306507315973688
2013-04-15,0.631517510886214
2013-04-16,0.6247330942465769
2013-04-17,0.5947270944015568
2013-04-18,0.6306462012201348
2013-04-19,0.631517510886214
2013-04-22,0.561295153227545
2013-04-23,0.6262134449915732
2013-04-24,0.5777582257138649
2013-04-25,0.561295153227545
2013-04-26,0.5787867852244595
2013-04-29,0.5882557163396601
2013-04-30,0.568555409165159
2013-05-01,0.6478288235148836
2013-05-02,0.6198978309102646
2013-05-03,0.5743060127472768
2013-05-06,0.5749552812206626
2013-05-07,0.603071664975176
2013-05-08,0.5509922711618516
2013-05-09,0.5747060226300635
2013-05-10,0.6228434781560701
2013-05-13,0.6009300913609082
2013-05-14,0.6143132414284861
2013-05-15,0.651257575344392
2013-05-16,0.6315556779080282
2013-05-17,0.6464864356969058
2013-05-20,0.6504785723354932
2013-05-21,0.6472503334981327
2013-05-22,0.6574203259622095
2013-05-23,0.6475157849371431
2013-05-24,0.6285547234878639
2013-05-28,0.65852326244536
2013-05-29,0.5797389741054794
2013-05-30,0.5620106741603992
2013-05-31,0.7167465084511228
2013-06-03,0.5849970305161143
2013-06-04,0.6343941743494881
2013-06-05,0.6111609783623517
2013-06-06,0.6217703068482268
2013-06-07,0.6574203259622095
2013-06-10,0.6176842622317469
2013-06-11,0.638743125668735
2013-06-12,0.5872271568290656
2013-06-13,0.6457469331018272
2013-06-14,0.5941426583008659
2013-06-17,0.5793783155599437
2013-06-18,0.6245544814660339
2013-06-19,0.6457469331018272
2013-06-20,0.6640237593318891
2013-06-21,0.6647454046406528
2013-06-24,0.5751356863831966
2013-06-25,0.6585098938310321
2013-06-26,0.6947183724477528
2013-06-27,0.6947183724477528
2013-06-28,0.6939419004454442
2013-07-01,0.6809521762652573
2013-07-02,0.6952028272773392
2013-07-03,0.6798711837041786
2013-07-05,0.6828298077637556
2013-07-08,0.6798711837041786
2013-07-09,0.6985495807733577
2013-07-10,0.6886663189346849
2013-07-11,0.6232109542873229
2013-07-12,0.6232109542873229
2013-07-15,0.6226833314254407
2013-07-16,0.6497965204398799
2013-07-17,0.6294732574819655
2013-07-18,0.48741366787615775
2013-07-19,0.4097351695062792
2013-07-22,0.4493198007478688
2013-07-23,0.3742130517667038
2013-07-24,0.3916936486710202
2013-07-25,0.4514599185142988
2013-07-26,0.3869582977625966
2013-07-29,0.37362500709275553
2013-07-30,0.36725640032623297
2013-07-31,0.3916936486710202
2013-08-01,0.3924487288221662
2013-08-02,0.5693128745683772
2013-08-05,0.39953937959691166
2013-08-06,0.46743833014819147
2013-08-07,0.45971183067463117
2013-08-08,0.5690435487780519
2013-08-09,0.49521056993963375
2013-08-12,0.6396430216227399
2013-08-13,0.6344891756667522
2013-08-14,0.6545566795887201
2013-08-15,0.7312604999377155
2013-08-16,0.7365858219492406
2013-08-19,0.6740227460817712
2013-08-20,0.7008238127124715
2013-08-21,0.6992876849280302
2013-08-22,0.6968265989657658
2013-08-23,0.6838905929301041
2013-08-26,0.6579344865706209
2013-08-27,0.6149467275710344
2013-08-28,0.5922434322580046
2013-08-29,0.6596802211528157
2013-08-30,0.7366064992531942
2013-09-03,0.6599618445584208
2013-09-04,0.6956761582931945
2013-09-05,0.7462792535683196
2013-09-06,0.7890203987133156
2013-09-09,0.8015473611262738
2013-09-10,0.7195796457775694
2013-09-11,0.7205982211747798
2013-09-12,0.5705308553831772
2013-09-13,0.6574714057417721
2013-09-16,0.6564067860289018
2013-09-17,0.6688458369126498
2013-09-18,0.71293146929964
2013-09-19,0.7300246150123059
2013-09-20,0.632246086602497
2013-09-23,0.6987837545352822
2013-09-24,0.6813720412046311
2013-09-25,0.6673470229043376
2013-09-26,0.6111609783623517
2013-09-27,0.6914586758568387
2013-09-30,0.6948013421541336
2013-10-01,0.6624738954784598
2013-10-02,0.6574203259622095
2013-10-03,0.6544575385638594
2013-10-04,0.6295601090796348
2013-10-07,0.6042192247356355
2013-10-08,0.5661335399129966
2013-10-09,0.5797018761563492
2013-10-10,0.49218402395105076
2013-10-11,0.5326543689742453
2013-10-14,0.531241651897658
2013-10-15,0.5578272180502151
2013-10-16,0.5228124625504658
2013-10-17,0.5694076177646963
2013-10-18,0.5676456480819285
2013-10-21,0.5562383968760872
2013-10-22,0.5309096357938492
2013-10-23,0.5529995719260434
2013-10-24,0.45693236125772996
2013-10-25,0.4987911880930517
2013-10-28,0.5048016812576901
2013-10-29,0.48236437317401026
2013-10-30,0.5770016359258314
2013-10-31,0.4398062314810174
2013-11-01,0.4301218662228413
2013-11-04,0.4973631297629626
2013-11-05,0.4097811559249448
