ts_signal,signal,p_signal,ticker,figi,price,free_rub_before,direction,lots,executed,order_id,error
2026-02-10,SHORT,0.4364378417317542,SLVRUBF,FSLVRUB00000,199.64,1099550.82,ORDER_DIRECTION_SELL,1,True,b2b3c802-fd6d-4100-baa7-e7cdf2f46307,
2026-02-17,BUY,0.6140376992389832,SLVRUBF,FSLVRUB00000,199.64,1099540.84,ORDER_DIRECTION_BUY,1,True,b03b0c6b-c6b7-48b3-9865-e8614740da4d,
2026-02-27,BUY,0.4447555533320522,SLVRUBF,FSLVRUB00000,199.64,1099530.86,ORDER_DIRECTION_BUY,1,True,312e9295-0a4d-4052-88d8-390a479acdbb,
2026-03-12,BUY,0.4954954449763414,SLVRUBF,FSLVRUB00000,199.64,1099520.87,ORDER_DIRECTION_BUY,1,True,76f7454c-e971-495e-85d9-ff1000cff194,
2026-03-24,BUY,0.6696898042387737,SLVRUBF,FSLVRUB00000,199.64,1099510.89,ORDER_DIRECTION_BUY,1,True,fcc49429-306b-47b7-9bdf-337cc80823e3,
2026-04-03,BUY,0.6696898042387737,SLVRUBF,FSLVRUB00000,199.64,1099500.91,ORDER_DIRECTION_BUY,1,True,f49f50c7-7bc9-4d03-b734-4e1add15944c,
2026-04-10,SHORT,0.4364378417317542,SLVRUBF,FSLVRUB00000,199.64,1099490.93,ORDER_DIRECTION_SELL,1,True,4797218f-60b3-4778-b13b-b132a49bb99d,
2026-04-15,BUY,0.6193238423592694,SLVRUBF,FSLVRUB00000,199.64,1099480.95,ORDER_DIRECTION_BUY,1,True,0b4c5882-83ac-457c-86ee-2a77565fa342,
2026-04-27,BUY,0.6696898042387737,SLVRUBF,FSLVRUB00000,199.64,1099470.96,ORDER_DIRECTION_BUY,1,True,44326f55-d2d0-4c7d-a2cd-eb9ad53770ab,
2026-05-01,SHORT,0.4364378417317542,SLVRUBF,FSLVRUB00000,199.64,1099460.98,ORDER_DIRECTION_SELL,1,True,5fe62fc9-64ad-4ab9-b172-ee556e4aeb8e,
2026-05-08,BUY,0.5434373969336754,SLVRUBF,FSLVRUB00000,199.64,1099451.0,ORDER_DIRECTION_BUY,1,True,d289e96b-861b-45b7-a4a1-af13b479ab3c,
2026-05-16T13:18:25.666060+00:00,BUY,0.6576023987787182,SLVRUBF,FSLVRUB00000,177.84,1099423.23,ORDER_DIRECTION_BUY,1,True,0e90c1e8-433a-4886-820b-f300c52a25d5,
