entry_date,exit_date,entry_price,exit_price,peak_price,hold_days,gross_return,net_return,exit_reason
2015-02-17,2015-02-24,16.36199951171875,16.18199920654297,16.43000030517578,5,-0.011001119089806943,-0.013001119089806943,model_exit
2015-03-31,2015-04-07,16.58099937438965,16.825000762939453,17.094999313354492,4,0.0147157226799417,0.0127157226799417,model_exit
2015-05-26,2015-05-27,16.733999252319336,16.63800048828125,17.079999923706055,1,-0.0057367496311308,-0.0077367496311308,model_exit
2015-07-01,2015-08-12,15.552000045776367,15.472999572753906,15.72599983215332,29,-0.005079762910874974,-0.007079762910874974,model_exit
2015-09-28,2015-10-01,14.538000106811523,14.505999565124512,14.640000343322754,3,-0.0022011653220458394,-0.004201165322045839,model_exit
2015-11-06,2015-12-21,14.696000099182129,14.300999641418457,15.045000076293945,30,-0.026878093025166416,-0.028878093025166418,max_hold
2016-01-28,2016-02-26,14.215999603271484,14.689000129699707,15.788999557495117,20,0.03327240712073265,0.03127240712073265,model_exit
2016-04-04,2016-04-19,14.942000389099121,16.968000411987305,16.968000411987305,11,0.13559094968075658,0.13359094968075658,model_exit
2017-06-16,2017-07-25,16.63599967956543,16.496999740600586,16.860000610351562,26,-0.008355370380030869,-0.010355370380030869,model_exit
2017-10-04,2017-10-05,16.562999725341797,16.582000732421875,16.81999969482422,1,0.001147196002847517,-0.000852803997152483,model_exit
2017-11-09,2017-11-14,16.94300079345703,17.052000045776367,17.052000045776367,3,0.006433290870258901,0.004433290870258901,model_exit
2017-12-20,2017-12-29,16.187999725341797,17.059999465942383,17.059999465942383,6,0.05386704691102118,0.051867046911021175,model_exit
2018-02-09,2018-02-12,16.115999221801758,16.54800033569336,16.54800033569336,1,0.026805729383952093,0.02480572938395209,model_exit
2018-03-20,2018-03-23,16.125,16.530000686645508,16.549999237060547,3,0.025116321652434603,0.0231163216524346,model_exit
2018-04-30,2018-05-03,16.312000274658203,16.36199951171875,16.530000686645508,3,0.0030651812296880188,0.0010651812296880187,model_exit
2018-06-08,2018-06-11,16.694000244140625,16.905000686645508,16.90999984741211,1,0.01263929791656393,0.01063929791656393,model_exit
2018-07-17,2018-08-28,15.545999526977539,14.767000198364258,15.710000038146973,30,-0.050109311225788655,-0.05210931122578866,max_hold
2018-10-03,2018-11-14,14.59000015258789,14.055000305175781,14.734999656677246,30,-0.0366689404946452,-0.0386689404946452,max_hold
2018-12-21,2018-12-26,14.583000183105469,15.003999710083008,15.050000190734863,2,0.028869198497663673,0.02686919849766367,model_exit
2019-03-04,2019-03-21,15.017000198364258,15.371999740600586,15.520000457763672,13,0.023639844013253475,0.021639844013253473,model_exit
2019-04-29,2019-05-03,14.843999862670898,14.906999588012695,15.03499984741211,4,0.004244120582365785,0.0022441205823657846,model_exit
2019-06-10,2019-06-20,14.604999542236328,15.468999862670898,15.468999862670898,8,0.05915784645771205,0.05715784645771205,model_exit
2019-08-05,2019-08-07,16.344999313354492,17.1560001373291,17.1560001373291,2,0.0496176725631301,0.0476176725631301,model_exit
2019-09-12,2019-10-23,18.041000366210938,17.517000198364258,18.600000381469727,29,-0.029044961876287134,-0.031044961876287136,model_exit
2019-11-29,2019-12-03,16.9689998626709,17.125,17.15999984741211,2,0.00919324288948098,0.007193242889480979,model_exit
2020-02-12,2020-02-18,17.47800064086914,18.131000518798828,18.131000518798828,3,0.03736124579391342,0.03536124579391342,model_exit
2020-03-24,2020-04-17,14.229000091552734,15.237000465393066,16.07200050354004,17,0.07084126553901338,0.06884126553901337,model_exit
2020-06-01,2020-06-04,18.76799964904785,18.02400016784668,18.815000534057617,3,-0.03964191683256546,-0.04164191683256546,model_exit
2020-09-09,2020-09-21,26.954999923706055,24.23960006713867,27.545000076293945,8,-0.10073826244678552,-0.10273826244678552,trail
2020-10-26,2020-10-28,24.375999450683594,23.323999404907227,24.525999069213867,2,-0.04315720665750444,-0.045157206657504445,model_exit
2021-02-03,2021-02-04,26.878000259399414,26.222999572753906,27.024999618530273,1,-0.024369398032744294,-0.026369398032744296,model_exit
2021-03-12,2021-03-19,25.8799991607666,26.29199981689453,26.530000686645508,5,0.015919654926129567,0.013919654926129567,model_exit
2021-06-29,2021-08-09,25.871999740600586,23.645600738525392,26.8700008392334,28,-0.08605438405989685,-0.08805438405989685,trail
2021-09-14,2021-10-26,23.841999053955078,24.086000442504883,24.575000762939453,30,0.010234099414131448,0.008234099414131448,max_hold
2021-12-01,2022-01-13,22.298999786376953,23.155000686645508,23.327999114990234,30,0.03838741237136145,0.03638741237136145,max_hold
2022-02-18,2022-03-01,23.990999221801758,25.534000396728516,25.565000534057617,6,0.06431583614593928,0.062315836145939274,model_exit
2022-04-05,2022-04-28,24.527999877929688,23.003199462890624,26.139999389648438,16,-0.06216570542350175,-0.06416570542350175,trail
2022-06-03,2022-06-08,21.889999389648438,22.073999404907227,22.40999984741211,3,0.00840566561851075,0.006405665618510749,model_exit
2022-07-15,2022-08-26,18.54800033569336,18.739999771118164,20.719999313354492,30,0.01035148975360567,0.00835148975360567,max_hold
2022-10-04,2022-10-14,21.03700065612793,18.581199798583985,21.114999771118164,8,-0.11673721447684549,-0.11873721447684549,trail
2022-11-29,2022-12-01,21.20400047302246,22.636999130249023,22.760000228881836,2,0.0675815235455095,0.0655815235455095,model_exit
2023-01-12,2023-01-30,23.863000869750977,23.645000457763672,24.315000534057617,11,-0.009135498639806228,-0.011135498639806228,model_exit
2023-03-07,2023-03-24,20.054000854492188,23.246999740600586,23.246999740600586,13,0.15922004338566453,0.15722004338566453,model_exit
2023-05-31,2023-06-01,23.474000930786133,23.875,23.875,1,0.017082689499596793,0.015082689499596793,model_exit
2023-07-10,2023-08-21,23.150999069213867,23.304000854492188,25.280000686645508,30,0.006608863177822055,0.004608863177822055,max_hold
2023-09-26,2023-09-27,22.950000762939453,22.476999282836914,22.950000762939453,1,-0.020610085593825378,-0.02261008559382538,model_exit
2023-11-02,2024-12-16,22.750999450683594,30.69700050354004,32.77000045776367,30,0.3492594279245036,0.3472594279245036,max_hold
2025-01-23,2025-01-28,30.67300033569336,30.726999282836914,31.075000762939453,3,0.0017604716380066332,-0.00023952836199336684,model_exit
2025-03-05,2025-03-06,32.858001708984375,33.0629997253418,33.0629997253418,1,0.0062389069844550615,0.0042389069844550615,model_exit
2025-04-10,2025-05-23,30.67099952697754,33.44200134277344,33.57500076293945,30,0.09034598997527254,0.08834598997527254,max_hold
