p_up_entry,p_up_exit,cooldown,trail_pct,max_hold,valid_n_trades,valid_total_return,valid_win_rate,valid_sharpe,valid_max_dd,test_n_trades,test_total_return,test_win_rate,test_sharpe,test_max_dd,forward_n_trades,forward_total_return,forward_win_rate,forward_sharpe,forward_max_dd,score
0.52,0.47,12,0.06,30,4,-0.1101,0.5,-1.69,-0.1101,8,0.1144,0.5,0.943,-0.0597,14,0.567,0.6429,1.74,-0.0994,0.09390975
0.53,0.47,12,0.07,30,4,-0.1366,0.5,-2.225,-0.1366,6,0.1452,0.5,1.268,-0.0423,12,0.5478,0.6667,1.561,-0.1179,0.0910965
0.49,0.4,6,0.08,30,0,0.0,0.0,0.0,0.0,9,-0.0071,0.3333,0.044,-0.0815,8,0.3297,0.625,1.139,-0.0409,0.08969125
0.52,0.47,12,0.07,30,4,-0.1366,0.5,-2.225,-0.1366,8,0.1144,0.5,0.943,-0.0597,14,0.5132,0.6429,1.552,-0.1179,0.0828465
0.52,0.47,6,0.08,30,4,-0.1472,0.5,-2.242,-0.1472,8,0.0023,0.375,0.095,-0.1332,15,1.0564,0.8,2.546,-0.0785,0.081175875
0.51,0.4,6,0.08,30,0,0.0,0.0,0.0,0.0,8,-0.0218,0.25,-0.075,-0.0894,7,0.3027,0.5714,1.059,-0.0409,0.08024500000000001
0.53,0.43,9,0.06,30,0,0.0,0.0,0.0,0.0,6,0.2134,0.5,1.555,-0.0423,7,0.1858,0.4286,0.737,-0.0994,0.073125
0.53,0.43,12,0.06,30,0,0.0,0.0,0.0,0.0,6,0.2134,0.5,1.555,-0.0423,7,0.1858,0.4286,0.737,-0.0994,0.073125
0.52,0.45,9,0.08,30,3,-0.1378,0.3333,-2.467,-0.1378,8,0.1184,0.375,0.892,-0.0597,13,0.8959,0.8462,2.33,-0.0785,0.07311150000000002
0.53,0.4,9,0.08,30,0,0.0,0.0,0.0,0.0,5,0.1601,0.4,1.135,-0.0423,5,0.2056,0.6,0.798,-0.0785,0.0714125
0.53,0.4,12,0.08,30,0,0.0,0.0,0.0,0.0,5,0.1601,0.4,1.135,-0.0423,5,0.2056,0.6,0.798,-0.0785,0.0714125
0.51,0.47,12,0.06,30,4,-0.1248,0.5,-2.19,-0.1248,8,0.0923,0.5,0.784,-0.0598,15,0.4486,0.6,1.416,-0.1003,0.07133775
