feature,n_train,n_recent,ks_pvalue,drift,mean_train,mean_recent
silver_open,2608,44,0.0,True,19.206142,75.707568
silver_high,2608,44,0.0,True,19.322665,76.975863
silver_low,2608,44,0.0,True,19.077851,74.526523
silver_close,2608,44,0.0,True,19.194936,75.942545
gold_open,2608,44,0.0,True,1437.210046,4686.184104
gold_high,2608,44,0.0,True,1444.274962,4718.879572
gold_low,2608,44,0.0,True,1429.970016,4637.293191
gold_close,2608,44,0.0,True,1437.120974,4678.079545
vix_open,2608,44,0.0,True,17.981967,21.580455
dxy_open,2608,44,0.0,True,93.68648,98.972046
dxy_high,2608,44,0.0,True,94.002918,99.245
dxy_low,2608,44,0.0,True,93.407757,98.646136
dxy_close,2608,44,0.0,True,93.712918,98.929091
vix_close,2608,44,0.0,True,17.840138,21.143864
vix_low,2608,44,0.0,True,17.010498,20.324773
vix_high,2608,44,0.0,True,19.020928,22.5775
copper_volume,2608,44,0.0,True,1712.11273,1630.5
oil_open,2608,44,0.0,True,65.774463,98.305227
oil_high,2608,44,0.0,True,66.786181,101.909091
vix_volume,2608,44,0.0,True,0.0,0.0
copper_open,2608,44,0.0,True,3.065896,5.844716
copper_high,2608,44,0.0,True,3.085806,5.897477
copper_low,2608,44,0.0,True,3.045206,5.815591
copper_close,2608,44,0.0,True,3.066618,5.864477
oil_close,2608,44,0.0,True,65.751331,98.155682
sp500_open,2608,44,0.0,True,2742.29358,6916.124567
sp500_high,2608,44,0.0,True,2756.946979,6956.243885
oil_low,2608,44,0.0,True,64.679939,94.231136
eurusd_open,2608,44,0.0,True,1.168396,1.165463
sp500_volume,2608,44,0.0,True,3864965893.404908,5364588636.363636
sp500_close,2608,44,0.0,True,2742.687293,6927.978438
sp500_low,2608,44,0.0,True,2726.341772,6885.78408
silver_atr_14d,2602,44,0.0,True,0.341824,3.620557
eurusd_low,2608,44,0.0,True,1.164666,1.162797
eurusd_close,2608,44,0.0,True,1.168417,1.165482
eurusd_volume,2608,44,0.0,True,0.0,0.0
eurusd_high,2608,44,0.0,True,1.172077,1.168768
oil_volume,2608,44,1.8e-05,True,446720.436733,312677.795455
silver_ret_5d,2603,44,0.000564,True,0.00031,0.003492
silver_zscore_60d,2549,44,0.001077,True,-0.082025,-0.50392
silver_volume,2608,44,0.002007,True,1922.713574,928.863636
silver_ret_2d,2606,44,0.002113,True,0.000111,0.003295
silver_ret_3d,2605,44,0.002958,True,0.000177,0.00394
gold_volume,2608,44,0.003106,True,5675.070552,2519.318182
silver_ret_10d,2598,44,0.004908,True,0.000516,-0.005532
silver_ret_20d,2588,44,0.005671,True,0.000755,-0.023831
silver_ret_1d,2607,44,0.023406,False,5.9e-05,0.001651
silver_rsi_14,2607,44,0.326192,False,48.862529,48.197313
dxy_volume,2608,44,0.414698,False,8930.214724,0.0
silver_zscore_20d,2589,44,0.989304,False,-0.063584,-0.059805
