split,n_obs,tr_lower,tr_median,tr_upper,shr_lower,shr_median,shr_upper,mdd_lower,mdd_median,mdd_upper
valid,9,-0.2129,0.0809,0.506,-1.948,0.643,2.203,-0.263,-0.1504,-0.0725
test,6,0.0381,0.2086,0.407,0.935,3.548,6.681,-0.0794,-0.0426,-0.0118
forward,7,0.1915,0.5334,0.9733,1.764,4.419,11.543,-0.1365,-0.0854,0.0
