entry_date,exit_date,entry_price,exit_price,peak_price,hold_days,gross_return,net_return,exit_reason
2015-02-18,2015-04-06,16.25,17.094999313354492,17.325000762939453,32,0.051999957744891745,0.04999995774489174,model_exit
2015-04-21,2015-05-08,16.00200080871582,16.441999435424805,16.700000762939453,13,0.027496475720044433,0.02549647572004443,model_exit
2015-06-12,2015-06-15,15.817999839782715,16.076000213623047,16.200000762939453,1,0.016310556104031093,0.014310556104031093,model_exit
2015-06-29,2015-09-01,15.663999557495117,14.61299991607666,15.994999885559082,45,-0.06709650607182005,-0.06909650607182005,model_exit
2015-11-06,2016-02-04,14.696000099182129,14.836000442504883,15.045000076293945,60,0.009526425039323883,0.0075264250393238825,max_hold
2016-02-19,2016-04-15,15.368000030517578,16.30900001525879,16.322999954223633,39,0.06123112850550405,0.05923112850550405,model_exit
2016-04-29,2016-05-02,17.788999557495117,17.6560001373291,18.030000686645508,1,-0.007476498031052992,-0.009476498031052992,model_exit
2016-06-07,2016-06-08,16.37700080871582,16.968000411987305,17.049999237060547,1,0.03608716945027912,0.03408716945027912,model_exit
2016-06-28,2016-07-07,17.839000701904297,19.79800033569336,21.094999313354492,6,0.10981554777224378,0.10781554777224378,model_exit
2016-08-01,2016-08-03,20.46500015258789,20.43600082397461,20.75,2,-0.0014170206888375336,-0.0034170206888375337,model_exit
2016-09-12,2016-09-22,18.915000915527344,20.020000457763672,20.020000457763672,8,0.05841921695754371,0.056419216957543705,model_exit
2016-10-06,2016-11-04,17.288000106811523,18.341999053955078,18.65999984741211,20,0.06096708356267744,0.058967083562677436,model_exit
2016-11-23,2016-11-29,16.382999420166016,16.660999298095703,16.700000762939453,3,0.016968802280948214,0.014968802280948214,model_exit
2016-12-15,2017-01-05,15.897000312805176,16.583999633789062,16.709999084472656,13,0.04321565751184542,0.041215657511845416,model_exit
2017-03-09,2017-03-21,16.993000030517578,17.549999237060547,17.549999237060547,8,0.03277815603734835,0.030778156037348348,model_exit
2017-05-05,2017-05-16,16.21500015258789,16.69300079345703,16.774999618530273,7,0.029478916828308055,0.027478916828308053,model_exit
2017-06-12,2017-06-13,16.913999557495117,16.738000869750977,17.114999771118164,1,-0.010405503863582077,-0.012405503863582077,model_exit
2017-06-27,2017-07-28,16.576000213623047,16.663999557495117,16.860000610351562,22,0.005308840657455294,0.0033088406574552937,model_exit
2017-10-24,2017-11-02,16.906999588012695,17.0939998626709,17.131999969482422,7,0.01106052399686508,0.00906052399686508,model_exit
2017-11-16,2017-11-21,17.055999755859375,16.948999404907227,17.357999801635742,3,-0.006273472823860149,-0.008273472823860149,model_exit
2017-12-06,2017-12-26,15.868000030517578,16.520000457763672,16.520000457763672,13,0.04108901096497086,0.03908901096497086,model_exit
2018-03-21,2018-03-22,16.35700035095215,16.327999114990234,16.530000686645508,1,-0.0017730167720040324,-0.0037730167720040324,model_exit
2018-04-06,2018-04-09,16.332000732421875,16.499000549316406,16.499000549316406,1,0.010225312846270374,0.008225312846270373,model_exit
2018-05-08,2018-05-10,16.38800048828125,16.68000030517578,16.684999465942383,2,0.017817903843933447,0.015817903843933445,model_exit
2018-05-24,2018-05-25,16.621000289916992,16.481000900268555,16.621000289916992,1,-0.008423042368476907,-0.010423042368476907,model_exit
2018-06-19,2018-07-31,16.30299949645996,15.5,16.43899917602539,29,-0.04925470902666251,-0.051254709026662515,model_exit
2018-08-21,2018-08-28,14.75100040435791,14.767000198364258,14.843999862670898,5,0.001084658231154334,-0.000915341768845666,model_exit
