direction,entry_date,exit_date,entry_price,exit_price,peak_price,gross_return,net_return,hold_days,exit_reason,realistic_cost,is_illiquid,net_return_v22,wf_year
LONG,2022-01-06,2022-01-10,22.174,22.446,22.49,0.012267,0.007171720283542004,2,model_exit,0.0050952797164579965,False,0.011767,2022
LONG,2022-02-10,2022-02-15,23.519,23.338,23.915,-0.007696,-0.012032534459833759,3,model_exit,0.00433653445983376,False,-0.008196,2022
LONG,2022-03-04,2022-03-15,25.782,25.123,27.31,-0.02556,-0.031606380766669044,7,trail_stop,0.006046380766669043,False,-0.02606,2022
LONG,2022-04-07,2022-04-08,24.733,24.819,24.925,0.003477,-0.0009247222540619358,1,model_exit,0.004401722254061936,False,0.002977,2022
LONG,2022-05-12,2022-05-18,20.757,21.533,21.737,0.037385,0.030719983834111304,4,model_exit,0.006665016165888698,False,0.036885,2022
LONG,2022-06-09,2022-06-15,21.797,21.402,21.92,-0.018122,-0.024813032642901196,4,model_exit,0.006691032642901199,True,-0.018622,2022
LONG,2022-07-01,2022-07-14,19.597,18.169,20.185,-0.072868,-0.07931015111571929,9,trail_stop,0.006442151115719295,False,-0.073368,2022
LONG,2022-07-26,2022-07-28,18.487,19.827,19.94,0.072483,0.06655454731358125,2,model_exit,0.005928452686418751,False,0.071983,2022
LONG,2022-08-17,2022-08-18,19.711,19.448,19.725,-0.013343,-0.020494549151823332,1,model_exit,0.00715154915182333,True,-0.013843,2022
LONG,2022-09-13,2022-09-21,19.39,19.411,19.585,0.001083,-0.007112749368328178,6,model_exit,0.008195749368328177,True,0.000583,2022
LONG,2022-10-05,2022-10-10,20.479,19.556,20.725,-0.045071,-0.05247511918221909,3,model_exit,0.007404119182219086,False,-0.045571,2022
LONG,2022-11-02,2022-11-03,19.6,19.436,19.6,-0.008367,-0.01608820343272387,1,model_exit,0.00772120343272387,True,-0.008867,2022
LONG,2022-11-28,2022-12-30,20.91,23.862,24.17,0.141176,0.13595688515244225,24,max_hold,0.005219114847557733,False,0.140676,2022
