p_up_entry,p_up_exit,cooldown,trail_pct,max_hold,score,n_positive,median_return,mean_return,worst_year,best_year,no_trade_years
0.58,0.3,25,0.1,45,0.1131,4,0.0048,0.0081,-0.1843,0.2855,0
0.58,0.35,15,0.12,45,0.1128,4,0.0098,-0.0015,-0.1934,0.2013,0
0.52,0.3,15,0.1,45,0.1127,4,-0.0169,-0.0253,-0.1539,0.1009,0
0.62,0.35,15,0.12,30,0.1124,4,0.0107,-0.0077,-0.1977,0.1397,0
0.48,0.35,15,0.1,30,0.1122,4,-0.0054,-0.0055,-0.1744,0.1185,0
0.62,0.35,10,0.12,30,0.1114,4,-0.0049,-0.0078,-0.1801,0.1397,0
0.48,0.35,25,0.1,30,0.1113,5,0.0516,0.022,-0.2587,0.1643,0
0.48,0.3,25,0.1,30,0.1112,4,-0.008,-0.0091,-0.1769,0.135,0
0.58,0.4,20,0.12,30,0.1112,4,-0.0329,-0.02,-0.1394,0.109,0
0.55,0.35,10,0.1,30,0.1111,4,-0.0013,-0.0098,-0.1873,0.1818,0
0.55,0.3,10,0.12,45,0.1108,4,-0.0117,-0.0067,-0.1738,0.2218,0
0.55,0.3,15,0.12,45,0.1108,4,-0.0117,0.0015,-0.1738,0.2874,0
0.55,0.3,20,0.12,45,0.1108,4,-0.0117,0.0006,-0.1738,0.28,0
0.55,0.3,25,0.12,45,0.1108,4,-0.0117,-0.0069,-0.1738,0.2195,0
0.58,0.35,10,0.12,45,0.1105,4,-0.0056,-0.0061,-0.1849,0.2013,0
0.55,0.3,10,0.1,45,0.1103,4,-0.0117,-0.006,-0.1768,0.2218,0
0.55,0.3,15,0.1,45,0.1103,4,-0.0117,0.0022,-0.1768,0.2874,0
0.55,0.3,20,0.1,45,0.1103,4,-0.0117,0.0012,-0.1768,0.28,0
0.55,0.3,25,0.1,45,0.1103,4,-0.0117,-0.0063,-0.1768,0.2195,0
0.52,0.3,25,0.1,45,0.1102,4,-0.0143,-0.0199,-0.1735,0.1229,0
0.52,0.3,25,0.12,45,0.1102,4,-0.0143,-0.0199,-0.1738,0.1229,0
0.52,0.3,15,0.12,45,0.1096,4,-0.0169,-0.026,-0.1738,0.1009,0
0.62,0.4,10,0.1,30,0.1095,4,-0.0049,0.0032,-0.1923,0.1444,0
0.48,0.35,10,0.1,45,0.1088,5,0.035,0.0144,-0.2278,0.1755,0
0.58,0.4,10,0.12,45,0.1088,4,-0.0211,-0.0059,-0.1725,0.1689,0
0.48,0.42,25,0.12,30,0.1087,5,0.0344,-0.0227,-0.2486,0.1074,0
0.48,0.4,25,0.12,45,0.1075,4,-0.0083,-0.0272,-0.1997,0.1382,0
0.48,0.42,25,0.1,30,0.1069,5,0.0224,-0.0242,-0.2564,0.1074,0
0.48,0.35,20,0.1,30,0.106,5,0.0163,0.0051,-0.2066,0.135,0
0.48,0.35,15,0.07,30,0.1055,4,-0.026,-0.0264,-0.1858,0.1185,0
0.48,0.35,25,0.07,30,0.1054,5,0.0123,-0.0067,-0.2658,0.1381,0
0.52,0.42,10,0.12,30,0.105,4,-0.032,-0.0506,-0.1798,0.0389,0
0.58,0.4,25,0.1,45,0.1048,4,-0.0318,-0.0193,-0.1814,0.2579,0
0.48,0.4,15,0.12,45,0.1045,4,-0.027,-0.005,-0.1901,0.1843,0
0.48,0.35,15,0.07,45,0.1041,4,-0.0244,-0.0362,-0.1965,0.1047,0
0.52,0.4,20,0.1,45,0.1037,4,-0.0323,-0.0308,-0.1872,0.1624,0
0.52,0.4,15,0.12,45,0.1032,4,-0.0334,-0.0154,-0.1888,0.1742,0
0.62,0.4,15,0.1,45,0.0774,4,0.0598,0.0324,-0.2236,0.2734,0
0.48,0.35,20,0.1,45,0.0752,4,0.0457,0.0292,-0.2569,0.1755,0
0.62,0.35,10,0.1,45,0.072,4,0.0238,0.0152,-0.2177,0.3124,0
0.62,0.35,15,0.1,45,0.072,4,0.0238,0.0141,-0.2477,0.3124,0
0.62,0.35,15,0.12,45,0.072,4,0.0238,0.0193,-0.2023,0.3124,0
