variant,split,n_total,n_long,n_short,total_net,long_net,short_net,win_rate,buy_and_hold,vs_bnh,kelly_weighted
v22_base,valid,30,12,18,-70.98%,-17.07%,-53.91%,0.3,-0.04%,-70.94%,False
v22_base,test,15,13,2,28.75%,40.79%,-12.04%,0.4667,21.33%,7.42%,False
v22_base,forward,20,17,3,126.71%,131.18%,-4.47%,0.65,161.79%,-35.08%,False
v22_atr,valid,30,12,18,-34.05%,-13.16%,-20.89%,0.3,-0.04%,-34.01%,False
v22_atr,test,15,13,2,37.84%,49.19%,-11.35%,0.4,21.33%,16.51%,False
v22_atr,forward,20,17,3,148.16%,158.53%,-10.36%,0.6,161.79%,-13.63%,False
v22_kelly,valid,30,12,18,-37.70%,-18.19%,-19.51%,0.3,-0.04%,-37.66%,True
v22_kelly,test,15,13,2,40.09%,49.93%,-9.84%,0.4,21.33%,18.77%,True
v22_kelly,forward,20,17,3,150.82%,160.01%,-9.19%,0.6,161.79%,-10.97%,True
