entry_date,exit_date,entry_price,exit_price,peak_price,hold_days,gross_return,net_return,exit_reason
2015-02-11,2015-02-25,16.7450008392334,16.423999786376953,17.277999877929688,9,-0.01916996337822463,-0.021169963378224632,model_exit
2015-04-01,2015-04-07,17.04400062561035,16.825000762939453,17.094999313354492,3,-0.012849087927269132,-0.014849087927269132,model_exit
2015-05-12,2015-05-14,16.510000228881836,17.448999404907227,17.448999404907227,2,0.05687457074547764,0.054874570745477635,model_exit
2015-06-19,2015-08-03,16.104000091552734,14.515999794006348,16.136999130249023,30,-0.09860905914794194,-0.10060905914794194,max_hold
2015-09-08,2015-09-15,14.75,14.319000244140625,14.864999771118164,5,-0.02922032243114403,-0.031220322431144032,model_exit
2015-11-05,2015-12-18,14.98799991607666,14.079999923706055,15.045000076293945,30,-0.06058179860253754,-0.06258179860253754,max_hold
2016-01-28,2016-02-04,14.215999603271484,14.836000442504883,14.899999618530273,5,0.04361289086493225,0.04161289086493225,model_exit
2016-03-11,2016-04-14,15.607000350952148,16.16900062561035,16.322999954223633,23,0.03600949971298717,0.03400949971298717,model_exit
2016-05-19,2016-05-20,16.479000091552734,16.518999099731445,16.90999984741211,1,0.002427271555099697,0.000427271555099697,model_exit
2017-06-29,2017-07-19,16.586000442504883,16.250999450683594,16.860000610351562,13,-0.020197816404416757,-0.02219781640441676,model_exit
2017-10-03,2017-10-06,16.58099937438965,16.733999252319336,16.81999969482422,3,0.009227421971078842,0.007227421971078842,model_exit
2017-11-20,2017-11-21,16.82699966430664,16.948999404907227,16.948999404907227,1,0.007250237299247786,0.005250237299247786,model_exit
2017-12-28,2018-01-08,16.832000732421875,17.06399917602539,17.229999542236328,6,0.013783176895699523,0.011783176895699523,model_exit
2018-02-23,2018-02-26,16.47599983215332,16.54199981689453,16.55500030517578,1,0.004005825771642213,0.002005825771642213,model_exit
2018-04-03,2018-04-10,16.347000122070312,16.56599998474121,16.56599998474121,5,0.013396945068546495,0.011396945068546495,model_exit
2018-05-16,2018-06-11,16.297000885009766,16.905000686645508,16.90999984741211,17,0.03730746570646559,0.03530746570646559,model_exit
2018-07-17,2018-08-28,15.545999526977539,14.767000198364258,15.710000038146973,30,-0.050109311225788655,-0.05210931122578866,max_hold
2018-10-03,2018-11-14,14.59000015258789,14.055000305175781,14.734999656677246,30,-0.0366689404946452,-0.0386689404946452,max_hold
2018-12-21,2018-12-27,14.583000183105469,15.190999984741211,15.190999984741211,3,0.041692367414224885,0.03969236741422488,model_exit
2019-03-01,2019-03-12,15.168999671936035,15.338000297546387,15.574999809265137,7,0.011141184604481102,0.009141184604481102,model_exit
2019-05-02,2019-05-03,14.539999961853027,14.906999588012695,14.906999588012695,1,0.025240689623282186,0.023240689623282185,model_exit
2019-06-10,2019-06-20,14.604999542236328,15.468999862670898,15.468999862670898,8,0.05915784645771205,0.05715784645771205,model_exit
2019-10-03,2019-10-08,17.584999084472656,17.617000579833984,17.639999389648438,3,0.0018198178576867008,-0.00018018214231329925,model_exit
2019-11-12,2019-11-15,16.677000045776367,16.933000564575195,17.01300048828125,3,0.01535051376723251,0.01335051376723251,model_exit
2019-12-23,2019-12-24,17.402999877929688,17.756999969482422,17.756999969482422,1,0.020341325865414372,0.01834132586541437,model_exit
2020-02-13,2020-02-18,17.600000381469727,18.131000518798828,18.131000518798828,2,0.030170461694317252,0.02817046169431725,model_exit
2020-03-24,2020-04-17,14.229000091552734,15.237000465393066,16.07200050354004,17,0.07084126553901338,0.06884126553901337,model_exit
2020-06-03,2020-06-05,17.92099952697754,17.44300079345703,18.02400016784668,2,-0.02667254874935676,-0.028672548749356763,model_exit
2020-09-09,2020-09-21,26.954999923706055,24.23960006713867,27.545000076293945,8,-0.10073826244678552,-0.10273826244678552,trail
2020-10-26,2020-11-05,24.375999450683594,25.17099952697754,25.17099952697754,8,0.032614050468057876,0.030614050468057874,model_exit
2020-12-11,2020-12-15,24.031999588012695,24.58099937438965,24.58099937438965,2,0.022844532115038785,0.020844532115038783,model_exit
2021-02-02,2021-02-04,26.384000778198242,26.222999572753906,28.93000030517578,2,-0.006102228649772279,-0.008102228649772279,model_exit
2021-03-12,2021-03-18,25.8799991607666,26.320999145507812,26.530000686645508,4,0.01704018543438579,0.01504018543438579,model_exit
2021-05-13,2021-05-17,27.04400062561035,28.260000228881836,28.329999923706055,2,0.04496374704709738,0.04296374704709738,model_exit
2021-06-30,2021-07-15,26.165000915527344,26.375,26.8700008392334,10,0.008025953645124151,0.006025953645124151,model_exit
