experiment,sharpe,n_trades,psr_vs_zero,dsr_corrected,bonferroni_alpha,significant_uncorrected,significant_bonferroni
E1_baseline,0.459,80,0.9999974791145767,3.0853802558445913e-17,0.008333333333333333,True,False
E2_naive_cross,-0.248,52,0.0319636097241531,3.0873948645016354e-31,0.008333333333333333,False,False
E2b_feature_selected,0.58,53,0.9998134728307857,4.9765316132353734e-06,0.008333333333333333,True,False
E3a_macro,0.424,50,0.9999634000029685,1.2593426843140356e-16,0.008333333333333333,True,False
E3b_adaptive,0.466,44,0.9999177028381363,7.674464085660349e-12,0.008333333333333333,True,False
E4_stacking,0.194,36,0.9059347689629,3.0904592036777995e-14,0.008333333333333333,False,False
