split,n_trades_v25,n_sequential,v22_honest_total,v25_honest_total,improvement_pp,true_bnh,vs_bnh,cagr,max_dd,sharpe_ann,calmar
valid,32,10,-0.4062,-0.0349,0.3712,-0.0004,-0.0346,-0.0353,-0.2032,0.025,-0.174
test,14,6,0.0608,0.3277,0.2669,0.2133,0.1144,0.398,-0.0176,2.072,22.573
forward,24,11,0.504,0.9455,0.4415,1.6179,-0.6724,0.6718,-0.2141,1.417,3.138
